Lx,Ly,J_hop,m,g_defrag,sigma_defrag,lambda_G,lambda_S,lambda_T,J_exch,E0,antisym_score,sym_score,overlap_prob,singlet_fraction,E_gauss,converged,error_msg
2,2,1.0,0.1,1.0,1.0,2.0,-2.0,0.0,2.0,-8.779844086568364,1.0,-3.000000000000001,0.31516512204695873,1.0,1.6303302440939174,True,
2,2,1.0,0.1,1.0,1.0,2.0,-1.0,0.0,0.0,-8.126166431725068,-1.3437954758364876,-0.6562045241635135,0.21382328134673514,0.4140511310408782,1.4276465626934702,True,
2,2,1.0,0.1,1.0,1.0,2.0,-1.0,0.0,1.0,-8.296307040204367,1.0,-3.0,0.24041699057112603,1.0,1.4808339811422522,True,
2,2,1.0,0.1,1.0,1.0,2.0,-1.0,0.0,2.0,-8.487606742076062,1.0,-3.000000000000001,0.2702657588481311,1.0,1.5405315176962624,True,
2,2,1.0,0.1,1.0,1.0,2.0,0.0,0.0,0.0,-7.928123295802145,-0.2603139049204186,-1.73968609507958,0.18313348643545066,0.6849215237698952,1.3662669728709014,True,
2,2,1.0,0.1,1.0,1.0,2.0,0.0,0.0,1.0,-8.07373854784987,1.0,-3.0,0.20565647385548524,1.0,1.4113129477109705,True,
2,2,1.0,0.1,1.0,1.0,2.0,0.0,0.0,2.0,-8.237362839868965,1.0,-3.0,0.231196700728322,1.0,1.462393401456644,True,
2,2,1.0,0.1,1.0,1.0,4.0,-2.0,0.0,0.0,-6.92812329580214,-1.763584414931338,-0.23641558506866267,0.18313348643545066,0.3091038962671656,2.732533945741802,True,
2,2,1.0,0.1,1.0,1.0,4.0,-2.0,0.0,1.0,-7.073738547849893,1.0,-3.000000000000001,0.20565647385548513,1.0,2.8226258954219405,True,
2,2,1.0,0.1,1.0,1.0,4.0,-2.0,0.0,2.0,-7.237362839868952,1.0,-3.000000000000001,0.2311967007283221,1.0,2.924786802913288,True,
2,2,1.0,0.1,1.0,1.0,4.0,-1.0,0.0,0.0,-6.758265022787163,-0.23093594365597614,-1.769064056344023,0.15734419464849542,0.6922660140860056,2.629376778593983,True,
2,2,1.0,0.1,1.0,1.0,4.0,-1.0,0.0,1.0,-6.8832063101235015,1.0,-3.0,0.17625264524504558,1.0,2.7050105809801823,True,
2,2,1.0,0.1,1.0,1.0,4.0,-1.0,0.0,2.0,-7.023310212255768,1.0,-3.000000000000001,0.1978254312046137,1.0,2.7913017248184566,True,
2,2,1.0,0.1,1.0,1.0,4.0,0.0,0.0,0.0,-6.612027576736138,-2.0044884057446737,0.004488405744673574,0.13577743529829192,0.24887789856383175,2.5431097411931676,True,
2,2,1.0,0.1,1.0,1.0,4.0,0.0,0.0,1.0,-6.719654451046617,1.0,-3.0,0.15158345140968588,1.0,2.606333805638744,True,
2,2,1.0,0.1,1.0,1.0,4.0,0.0,0.0,2.0,-6.839972291598007,1.0,-2.999999999999999,0.16966797642204312,1.0,2.678671905688172,True,
2,2,1.0,0.1,1.0,1.0,6.0,-2.0,0.0,0.0,-5.61202757673614,-2.2015698453046637,0.20156984530466304,0.13577743529829198,0.19960753867383407,3.814664611789751,True,
2,2,1.0,0.1,1.0,1.0,6.0,-2.0,0.0,1.0,-5.719654451046595,1.0,-3.0,0.1515834514096859,1.0,3.9095007084581153,True,
2,2,1.0,0.1,1.0,1.0,6.0,-2.0,0.0,2.0,-5.839972291597996,1.0,-3.0,0.16966797642204295,1.0,4.0180078585322585,True,
2,2,1.0,0.1,1.0,1.0,6.0,-1.0,0.0,0.0,-5.485525918595869,-1.3786072164584167,-0.6213927835415827,0.11776561638723759,0.4053481958853958,3.7065936983234242,True,
2,2,1.0,0.1,1.0,1.0,6.0,-1.0,0.0,1.0,-5.578689147905792,1.0,-3.0,0.13096613542516017,1.0,3.7857968125509616,True,
2,2,1.0,0.1,1.0,1.0,6.0,-1.0,0.0,2.0,-5.682452207580732,1.0,-3.000000000000001,0.14607578674957125,1.0,3.8764547204974273,True,
2,2,1.0,0.1,1.0,1.0,6.0,0.0,0.0,0.0,-5.3755137303407405,-2.144251070581923,0.14425107058192488,0.10270449496728298,0.21393723235451892,3.616226969803699,True,
2,2,1.0,0.1,1.0,1.0,6.0,0.0,0.0,1.0,-5.456590766751594,1.0,-3.0000000000000027,0.11374553366709608,1.0,3.6824732020025768,True,
2,2,1.0,0.1,1.0,1.0,6.0,0.0,0.0,2.0,-5.54652684896007,1.0,-3.0,0.12636676613975548,1.0,3.758200596838533,True,
