traj_id,charge,length,total_phase_rad,total_phase_cycles
1.230000000000000000e+02,1.000000000000000000e+00,1.210000000000000000e+02,-2.491824671605360564e+01,-3.965862138043319440e+00
1.340000000000000000e+02,1.000000000000000000e+00,8.000000000000000000e+01,1.253651189216857098e+01,1.995247836768958116e+00
1.440000000000000000e+02,-1.000000000000000000e+00,1.100000000000000000e+02,-2.246136393174658963e+00,-3.574837098323478957e-01
1.630000000000000000e+02,-1.000000000000000000e+00,8.200000000000000000e+01,5.660150049315708642e-01,9.008408589904302877e-02
1.670000000000000000e+02,-1.000000000000000000e+00,1.130000000000000000e+02,-2.783712122884507423e-02,-4.430415445019029487e-03
1.690000000000000000e+02,-1.000000000000000000e+00,1.200000000000000000e+02,-6.367539408425356484e+00,-1.013425372183338613e+00
1.730000000000000000e+02,-1.000000000000000000e+00,9.600000000000000000e+01,-8.380824527245259503e+00,-1.333849650696879996e+00
1.780000000000000000e+02,-1.000000000000000000e+00,1.010000000000000000e+02,-1.136001188257892025e+01,-1.808002044695102839e+00
1.900000000000000000e+02,1.000000000000000000e+00,1.050000000000000000e+02,1.817506818221057330e+01,2.892651942231041495e+00
1.970000000000000000e+02,1.000000000000000000e+00,1.400000000000000000e+02,-9.913873164636710200e+00,-1.577841919338023979e+00
2.480000000000000000e+02,-1.000000000000000000e+00,9.200000000000000000e+01,-9.544604157301959546e+00,-1.519070931490061005e+00
2.500000000000000000e+02,1.000000000000000000e+00,1.410000000000000000e+02,-2.467700338508501190e+01,-3.927467069431713753e+00
2.910000000000000000e+02,-1.000000000000000000e+00,8.100000000000000000e+01,-1.638890805073608448e+01,-2.608375728153206730e+00
3.010000000000000000e+02,1.000000000000000000e+00,1.080000000000000000e+02,-1.009977890243551002e+01,-1.607429736457848701e+00
3.310000000000000000e+02,-1.000000000000000000e+00,8.900000000000000000e+01,-2.882194273913059490e+01,-4.587154656444195844e+00
3.430000000000000000e+02,-1.000000000000000000e+00,9.100000000000000000e+01,-2.756005877853971242e+01,-4.386319586507778645e+00
3.500000000000000000e+02,-1.000000000000000000e+00,8.100000000000000000e+01,-3.707381964864434387e+00,-5.900481656379181761e-01
3.550000000000000000e+02,-1.000000000000000000e+00,1.130000000000000000e+02,9.798918438297395284e+00,1.559546306409345995e+00
3.770000000000000000e+02,1.000000000000000000e+00,1.010000000000000000e+02,9.439963760376064883e+00,1.502416895072206993e+00
3.910000000000000000e+02,1.000000000000000000e+00,1.020000000000000000e+02,-7.305057215547082761e-01,-1.162635965423435419e-01
5.560000000000000000e+02,1.000000000000000000e+00,8.400000000000000000e+01,-1.287346915429641214e+01,-2.048876250647315711e+00
