id1,id2,t_start,t_end,min_sep
2.949000000000000000e+03,6.049000000000000000e+03,9.000000000000000000e+00,1.750000000000000000e+01,5.000000000000000000e+00
2.949000000000000000e+03,5.312000000000000000e+03,7.600000000000000533e+00,1.660000000000000142e+01,1.000000000000000000e+00
4.062000000000000000e+03,1.687000000000000000e+03,5.299999999999999822e+00,1.359999999999999964e+01,3.162277660168379523e+00
4.062000000000000000e+03,3.767000000000000000e+03,5.299999999999999822e+00,1.719999999999999929e+01,4.123105625617660586e+00
4.062000000000000000e+03,4.826000000000000000e+03,6.700000000000000178e+00,1.890000000000000213e+01,4.614108524999561034e+00
4.062000000000000000e+03,2.698000000000000000e+03,5.299999999999999822e+00,1.370000000000000107e+01,1.000000000000000000e+00
4.062000000000000000e+03,3.099000000000000000e+03,5.299999999999999822e+00,1.430000000000000071e+01,4.664236490661314960e+00
4.062000000000000000e+03,4.010000000000000000e+03,5.299999999999999822e+00,1.559999999999999964e+01,4.242640687119284770e+00
4.062000000000000000e+03,4.875000000000000000e+03,6.799999999999999822e+00,1.700000000000000000e+01,4.493633692700411686e+00
4.062000000000000000e+03,3.603000000000000000e+03,5.299999999999999822e+00,1.430000000000000071e+01,2.285714285714284699e+00
4.062000000000000000e+03,5.506000000000000000e+03,8.000000000000000000e+00,1.790000000000000213e+01,4.307089551908945602e+00
4.062000000000000000e+03,4.956000000000000000e+03,6.900000000000000355e+00,1.660000000000000142e+01,1.027953959282041918e+00
4.062000000000000000e+03,6.049000000000000000e+03,9.000000000000000000e+00,1.830000000000000071e+01,3.097801136626786356e+00
4.062000000000000000e+03,6.706000000000000000e+03,1.020000000000000107e+01,1.930000000000000071e+01,2.236067977499789805e+00
4.062000000000000000e+03,5.312000000000000000e+03,7.600000000000000533e+00,1.660000000000000142e+01,3.162277660168379523e+00
4.062000000000000000e+03,7.192000000000000000e+03,1.109999999999999964e+01,1.969999999999999929e+01,4.230985058813281796e+00
1.190000000000000000e+02,2.500000000000000000e+02,0.000000000000000000e+00,1.400000000000000000e+01,2.000000000000000000e+00
1.190000000000000000e+02,1.970000000000000000e+02,0.000000000000000000e+00,1.390000000000000036e+01,2.000000000000000000e+00
1.190000000000000000e+02,3.400000000000000000e+01,0.000000000000000000e+00,1.300000000000000000e+01,4.512908056701784965e+00
1.190000000000000000e+02,3.155000000000000000e+03,3.500000000000000000e+00,1.400000000000000000e+01,4.000000000000000000e+00
1.190000000000000000e+02,1.200000000000000000e+02,0.000000000000000000e+00,1.240000000000000036e+01,1.000000000000000000e+00
1.190000000000000000e+02,2.540000000000000000e+03,2.399999999999999911e+00,1.400000000000000000e+01,3.396825396825384757e+00
