id1,id2,t_start,t_end,min_sep
9.900000000000000000e+01,3.908000000000000000e+03,5.000000000000000000e+00,1.370000000000000107e+01,4.123105625617660586e+00
9.900000000000000000e+01,2.100000000000000000e+01,0.000000000000000000e+00,8.599999999999999645e+00,4.134699747321922914e+00
9.900000000000000000e+01,3.002000000000000000e+03,3.200000000000000178e+00,1.180000000000000071e+01,1.000000000000000000e+00
9.900000000000000000e+01,5.799000000000000000e+03,8.500000000000000000e+00,1.520000000000000107e+01,1.414213562373095145e+00
1.938000000000000000e+03,4.655000000000000000e+03,6.400000000000000355e+00,1.650000000000000000e+01,3.503480614650763325e+00
1.938000000000000000e+03,2.865000000000000000e+03,3.000000000000000000e+00,1.559999999999999964e+01,3.605551275463989125e+00
1.938000000000000000e+03,2.800000000000000000e+01,1.300000000000000044e+00,1.250000000000000000e+01,3.726779962499652044e+00
1.938000000000000000e+03,4.236000000000000000e+03,5.600000000000000533e+00,1.650000000000000000e+01,1.051100516263032247e+00
1.938000000000000000e+03,4.100000000000000000e+03,5.400000000000000355e+00,1.650000000000000000e+01,3.605551275463989125e+00
1.938000000000000000e+03,4.187000000000000000e+03,5.500000000000000000e+00,1.650000000000000000e+01,3.183004755632075522e+00
1.938000000000000000e+03,2.995000000000000000e+03,3.200000000000000178e+00,1.450000000000000000e+01,1.414213562373095145e+00
1.938000000000000000e+03,2.209000000000000000e+03,1.800000000000000044e+00,1.290000000000000036e+01,1.783013831128482884e+00
1.938000000000000000e+03,6.101000000000000000e+03,9.099999999999999645e+00,1.650000000000000000e+01,3.000000000000000000e+00
1.938000000000000000e+03,3.381000000000000000e+03,4.000000000000000000e+00,1.430000000000000071e+01,3.007088291846607309e+00
1.938000000000000000e+03,4.998000000000000000e+03,7.000000000000000000e+00,1.650000000000000000e+01,1.000000000000000000e+00
1.938000000000000000e+03,5.041000000000000000e+03,7.100000000000000533e+00,1.650000000000000000e+01,4.259768611300280838e+00
1.938000000000000000e+03,2.000000000000000000e+00,1.300000000000000044e+00,1.009999999999999964e+01,2.000000000000000000e+00
1.938000000000000000e+03,2.316000000000000000e+03,2.000000000000000000e+00,1.180000000000000071e+01,1.000000000000000000e+00
1.938000000000000000e+03,6.579000000000000000e+03,1.000000000000000000e+01,1.650000000000000000e+01,2.476648309323018715e+00
1.938000000000000000e+03,3.387000000000000000e+03,4.000000000000000000e+00,1.340000000000000036e+01,2.495246173095695852e+00
1.938000000000000000e+03,3.960000000000000000e+03,5.100000000000000533e+00,1.450000000000000000e+01,1.000000000000000000e+00
1.938000000000000000e+03,2.266000000000000000e+03,1.900000000000000133e+00,1.120000000000000107e+01,7.268732153558941089e-01
1.938000000000000000e+03,6.652000000000000000e+03,1.009999999999999964e+01,1.650000000000000000e+01,4.127777701479873329e+00
1.938000000000000000e+03,2.632000000000000000e+03,2.600000000000000089e+00,1.170000000000000107e+01,1.242259987499882090e+00
1.938000000000000000e+03,5.100000000000000000e+03,7.200000000000000178e+00,1.630000000000000071e+01,4.346134936801761661e+00
1.938000000000000000e+03,5.611000000000000000e+03,8.199999999999999289e+00,1.650000000000000000e+01,1.004524909987093206e+00
1.938000000000000000e+03,3.251000000000000000e+03,3.700000000000000178e+00,1.259999999999999964e+01,2.349206349206347966e+00
1.938000000000000000e+03,1.282000000000000000e+03,1.300000000000000044e+00,8.900000000000000355e+00,1.000000000000000000e+00
1.938000000000000000e+03,4.235000000000000000e+03,5.600000000000000533e+00,1.440000000000000036e+01,1.000000000000000000e+00
1.938000000000000000e+03,6.000000000000000000e+00,1.300000000000000044e+00,8.599999999999999645e+00,1.414213562373095145e+00
1.938000000000000000e+03,2.100000000000000000e+01,1.300000000000000044e+00,8.599999999999999645e+00,3.232644026546743987e+00
1.938000000000000000e+03,3.485000000000000000e+03,4.200000000000000178e+00,1.280000000000000071e+01,3.992844443793237996e+00
1.574000000000000000e+03,1.600000000000000000e+01,5.999999999999999778e-01,1.370000000000000107e+01,1.000000000000000000e+00
1.574000000000000000e+03,3.667000000000000000e+03,4.500000000000000000e+00,1.559999999999999964e+01,1.095238095238130427e+00
1.574000000000000000e+03,3.893000000000000000e+03,5.000000000000000000e+00,1.559999999999999964e+01,5.000000000000000000e+00
1.574000000000000000e+03,2.995000000000000000e+03,3.200000000000000178e+00,1.450000000000000000e+01,3.162277660168379523e+00
1.574000000000000000e+03,2.209000000000000000e+03,1.800000000000000044e+00,1.290000000000000036e+01,1.822634210381393949e+00
